Address,Postcode,Agent,Type,Bedrooms,Asking rent (pm),Days,Let agreed,Lat,Lng,URL
"Rickyard Close, Oxford OX1",OX1 2DD,Chancellors,Terraced house,5,2751,69,0,51.754,-1.268,https://propertydata.co.uk/outbound/zoopla/60909575
"Norham Gardens, Oxford OX2",OX2 6QB,Finders Keepers,Detached house,5,5000,18,1,51.763283,-1.258041,https://propertydata.co.uk/outbound/zoopla/66340788
"Jericho, Oxford OX2",OX2 6AQ,Chancellors,Terraced house,5,5499,16,1,51.76128,-1.271064,https://propertydata.co.uk/outbound/zoopla/56878808
"St. Bernard`s Road, Walton Manor",OX2 6EN,"JCP Estate Agents, North Oxford",Terraced house,5,5499,7,0,51.762006,-1.265408,https://propertydata.co.uk/outbound/rightmove/148191020
"Osney Lane, Botley, Oxford OX1",OX1 9EB,Martin & Co,Terraced house,4,2799,47,0,51.750301,-1.266929,https://propertydata.co.uk/outbound/zoopla/60529823
"Rewley Road, Oxford OX1",OX1 2RQ,Finders Keepers,Semi-detached house,4,2899,18,0,51.756229,-1.270283,https://propertydata.co.uk/outbound/zoopla/67183627
"St. John Street, Oxford OX1",OX1 2LL,North Oxford Property Services,Flat,4,3198,18,0,51.75621,-1.261994,https://propertydata.co.uk/outbound/zoopla/67026100
"Thames Street, Oxford OX1",OX1 1TS,North Oxford Property Services,Detached house,4,3198,18,0,51.748535,-1.263168,https://propertydata.co.uk/outbound/zoopla/66537641
"Jericho St, Oxford OX2",OX2 6BU,OpenRent,Semi-detached house,4,3198,10,0,51.759306,-1.267828,https://propertydata.co.uk/outbound/zoopla/67371999
"Cranham Street, Oxford OX2",OX2 6DD,North Oxford Property Services,Detached house,4,3198,18,0,51.759338,-1.268789,https://propertydata.co.uk/outbound/zoopla/65835369
"Rickyard Close, Summertown OX1",OX1 2DD,Chancellors,Terraced house,4,3250,10,0,51.754,-1.268,https://propertydata.co.uk/outbound/zoopla/54718276
"Great Clarendon Street, Oxford OX2",OX2 6AT,Hamptons,Flat,4,3384,18,0,51.758269,-1.267353,https://propertydata.co.uk/outbound/zoopla/58595134
"Nelson Street, Oxford OX2",OX2 6BD,Hamptons,Flat,4,4355,206,0,51.756933,-1.267881,https://propertydata.co.uk/outbound/zoopla/58595185
"Walton Street, Oxford OX1",OX1 2HG,Finders Keepers,Detached house,4,4749,16,0,51.756737,-1.263553,https://propertydata.co.uk/outbound/zoopla/67306544
Richmond Road Oxford OX1,OX1 2JJ,"Hamptons, Oxford",Detached house,4,4974,62,1,51.75705,-1.26469,https://propertydata.co.uk/outbound/rightmove/146153291
"Sadler Walk, Oxford",OX1 1TX,"Martin &amp; Co, Oxford",Terraced house,3,2102,19,1,51.74733,-1.26311,https://propertydata.co.uk/outbound/rightmove/147719360
"Venneit Close, Oxford OX1",OX1 1HZ,North Oxford Property Services,Flat,3,2249,18,0,51.757633,-1.272567,https://propertydata.co.uk/outbound/zoopla/66540809
"Stable Close, Oxford OX1",OX1 2DD,Chancellors,Semi-detached house,3,2500,8,0,51.754,-1.268,https://propertydata.co.uk/outbound/zoopla/61962558
Jean Marguerite Court,OX1 1UD,"North Oxford Property Service, Oxford",Flat,3,2548,226,0,51.749385,-1.262631,https://propertydata.co.uk/outbound/rightmove/140890439
"Walton Street, Central Oxford",OX1 2HD,"JCP Estate Agents, North Oxford",Flat,3,2799,9,0,51.75586,-1.26306,https://propertydata.co.uk/outbound/rightmove/148100387
"St. Michaels Street, Oxford OX1",OX1 3JB,Chancellors,Flat,3,2998,18,1,51.753,-1.26,https://propertydata.co.uk/outbound/zoopla/67072507
"Foundry House, Oxford",OX2 6AQ,"Finders Keepers, North Oxford",Flat,3,3497,60,1,51.76104,-1.27071,https://propertydata.co.uk/outbound/rightmove/146198879
"Observatory Street, Oxford, Oxfordshire, OX2",OX2 6HU,"Savills Lettings, Oxford",Flat,3,3952,34,0,51.76208,-1.26389,https://propertydata.co.uk/outbound/rightmove/147104177
"The Royal Blenheim, Oxford OX1",OX1 1PT,Taylors Estate Agents,Flat,2,1499,4,0,51.750101,-1.259532,https://propertydata.co.uk/outbound/zoopla/56266419
"Gloucester Green, Oxford OX1",OX1 2DF,Peers & Hilton,Flat,2,1599,6,0,51.754386,-1.261751,https://propertydata.co.uk/outbound/zoopla/67392217
"High Street, Oxford OX1",OX1 4DB,Oxford Heritage Property Management,Flat,2,1699,18,0,51.752123,-1.256848,https://propertydata.co.uk/outbound/zoopla/67284350
"St. Thomas Street, Oxford OX1",OX1 1NJ,Martin & Co,Flat,2,1699,6,1,51.751201,-1.266909,https://propertydata.co.uk/outbound/zoopla/46742779
"River Court, Trinity Street, OX1 1TQ",OX1 1TQ,"Scottfraser, Headington",Flat,2,1699,3,0,51.74696,-1.26196,https://propertydata.co.uk/outbound/rightmove/148323974
"Castle Mews, St Thomas&#x27; Street",OX1 1JR,"Martin &amp; Co, Oxford",Flat,2,1699,7,1,51.75185,-1.26666,https://propertydata.co.uk/outbound/rightmove/148178921
"Rowland Hill Court, Osney Lane, Oxford, Oxfordshire OX1",OX1 1LF,Carter Jonas,Flat,2,1751,18,1,51.751245,-1.268207,https://propertydata.co.uk/outbound/zoopla/54045130
"Rewley Road, Oxford OX1",OX1 2RQ,Finders Keepers,Flat,2,1751,4,0,51.756229,-1.270283,https://propertydata.co.uk/outbound/zoopla/67428506
"Cardigan Street, Oxford OX2",OX2 6BW,Finders Keepers,Flat,2,1850,2,0,51.759747,-1.266271,https://propertydata.co.uk/outbound/zoopla/67440404
"Rewley Road, Oxford OX1",OX1 1HS,Martin & Co,Flat,2,1850,16,1,51.753898,-1.26977,https://propertydata.co.uk/outbound/zoopla/66999873
"Rewley Road, Oxford",OX1 2RA,"Martin &amp; Co, Oxford",Flat,2,1850,17,1,51.75465,-1.26879,https://propertydata.co.uk/outbound/rightmove/146304953
"Osney Lane, Central Oxford",OX1 1LF,"Finders Keepers, Central Oxford",Flat,2,1850,60,1,51.75103,-1.26853,https://propertydata.co.uk/outbound/rightmove/146261552
"Walton Crescent, Oxford OX1",OX1 2JQ,Finders Keepers,Flat,2,1898,6,1,51.757587,-1.265538,https://propertydata.co.uk/outbound/zoopla/67406965
"Rowland Hill Court, Osney Lane, Oxford OX1",OX1 1LE,Breckon & Breckon,Flat,2,1898,18,0,51.75132,-1.267507,https://propertydata.co.uk/outbound/zoopla/61087920
"Great Clarendon Street, Oxford",OX2 6AT,"Finders Keepers, North Oxford",Terraced house,2,1950,40,1,51.75824,-1.26743,https://propertydata.co.uk/outbound/rightmove/146896715
"Mill Street, Oxford, Oxfordshire, OX2",OX2 0AJ,"LPM residential, Cowley",Terraced house,2,1950,40,0,51.751621,-1.270863,https://propertydata.co.uk/outbound/rightmove/146250575
"St. Thomas Street, Oxford OX1",OX1 1JA,Finders Keepers,Flat,2,2002,10,1,51.752129,-1.265656,https://propertydata.co.uk/outbound/zoopla/67375242
"Wellington Street, Oxford OX2",OX2 6BB,Finders Keepers,Terraced house,2,2002,2,0,51.757572,-1.267625,https://propertydata.co.uk/outbound/zoopla/67440482
"Walton Crescent, Oxford",OX1 2JQ,"Finders Keepers, North Oxford",Flat,2,2002,23,1,51.7575,-1.26555,https://propertydata.co.uk/outbound/rightmove/147559133
"St. Thomas Street, Oxford OX1",OX1 1JE,Finders Keepers,Flat,2,2076,10,0,51.751358,-1.264654,https://propertydata.co.uk/outbound/zoopla/67370818
"Fisher Row, Oxford OX1",OX1 1HT,Finders Keepers,Flat,2,2102,4,0,51.752178,-1.264974,https://propertydata.co.uk/outbound/zoopla/67428467
"Hart Street, Oxford OX2",OX2 6BN,Finders Keepers,Terraced house,2,2102,16,1,51.758675,-1.267042,https://propertydata.co.uk/outbound/zoopla/67288381
"Mill Street, Oxford, Oxfordshire OX2",OX2 0AR,Bright Properties (Oxhold Limited TA),Terraced house,2,2102,10,1,51.752048,-1.271747,https://propertydata.co.uk/outbound/zoopla/67364209
"St Thomas Street, OX1",OX1 1JW,"Penny &amp; Sinclair, Oxford",Flat,2,2102,11,0,51.751202,-1.26546,https://propertydata.co.uk/outbound/rightmove/148034060
"St Thomas Mews, Oxford",OX1 1JA,"Finders Keepers, North Oxford",Flat,2,2102,38,1,51.75211,-1.26579,https://propertydata.co.uk/outbound/rightmove/146985020
"The Stream Edge, Fisher Row, Oxford OX1",OX1 1HT,Breckon & Breckon,Flat,2,2149,4,0,51.752186,-1.264987,https://propertydata.co.uk/outbound/zoopla/61389765
